college_name,state,stream,affiliation,website,placement_officer_name,placement_email,placement_phone,backup_emails_found,backup_phones_found,fallback_contact_email,fallback_contact_phone,confidence_score,source_urls,email_verified,last_scraped,status,outreach_status
"A. Shama Rao Foundation, Srinivas School of Engineering, Mangalore",Karnataka,Engineering,VTU,https://www.srinivasgroup.com/Careers.html,,admission@srinivasgroup.com,,"drajay@srinivasgroup.com, job@srinivasgroup.com","+91-8242412382, +91-8242425966",admission@srinivasgroup.com,+91-7026436197,0,,0,,Needs Follow-up,New
"A.C.S. College of Engineering, Bangalore",Karnataka,Engineering,VTU,http://www.acsce.edu.in/,,admission@acsce.edu.in,,,"+91-9900500028, +91-8029748777",admission@acsce.edu.in,+91-9008545678,0,,0,,Needs Follow-up,New
A.G & S.G Siddhartha Degree College of Arts and Science Krishna,Andhra Pradesh,BCA,Krishna University,http://www.agsgsc.edu.in,,agsgsiddhartha@gmail.com,,,,agsgsiddhartha@gmail.com,,0,,0,,Needs Follow-up,New
"A.G.M. Rural Engineering College, Hubli",Karnataka,Engineering,VTU,https://agmrcet.ac.in/placement.php,,tpo@agmrcet.ac.in,,,,tpo@agmrcet.ac.in,+91-9739857966,0,,0,,Needs Follow-up,New
"A.P.S. College of Engineering, Bangalore",Karnataka,Engineering,VTU,http://www.apsce.ac.in,,principal.apsce@gmail.com,,apsceoffice@gmail.com,,principal.apsce@gmail.com,+91-9448452508,0,,0,,Needs Follow-up,New
A.V.C College of Engineering,Tamil Nadu,Engineering,Anna University,http://avccengg.net/,,placement@avccengg.net,,"avcce@avccengg.net, avcce@avccengg.net",+91-4364227299,placement@avccengg.net,+91-4364227202,0,,0,,Needs Follow-up,New
ABR College of Engineering & Technology,Andhra Pradesh,Engineering,JNTUK/JNTUA (directory),https://abrcet.edu.in,,info@abrcet.edu.in,,,,info@abrcet.edu.in,+91-9866461623,0,,0,,Needs Follow-up,New
ACE Engineering College,Andhra Pradesh,Engineering,"Various Deemed Universities (GITAM, KLEF, VFSTR, Vignan, Amrita)",https://www.aceec.ac.in/placement-team-2/,,admissions@aceec.ac.in,,,,admissions@aceec.ac.in,+91-8712225044,0,,0,,Needs Follow-up,New
"ADARSHA Institute of Technology, Bangalore",Karnataka,Engineering,VTU,https://adarshaimit.org,,admission@adarshaimit.org,,,"+91-7406740088, +91-8026984938, +91-8026677100",admission@adarshaimit.org,+91-7406740077,0,,0,,Needs Follow-up,New
ALC Vijayawada,Andhra Pradesh,BCA,Krishna University,https://www.andhraloyolacollege.ac.in,,contactalc@gmail.com,,,+91-8662486084,contactalc@gmail.com,+91-8662476082,0,,0,,Needs Follow-up,New
AMC ENGINEERING COLLEGE,Karnataka,Engineering,,https://www.amcec.edu.in/,,,,,,,,65,,0,2026-08-03T09:33:34+00:00,Failed,New
"AMC Institutions, Bangalore",Karnataka,Engineering,VTU,https://amcgroup.edu.in/,,admissions@amceducation.in,,,,admissions@amceducation.in,+91-9902044114,0,,0,,Needs Follow-up,New
"AP University - VIT-AP University, Amaravati",Andhra Pradesh,Engineering,,https://vitap.ac.in/ug-pg-admissions,,,,,,,,55,,0,2026-08-02T12:29:17+00:00,Failed,New
"ATME College of Engineering, Mysuru",Karnataka,Engineering,VTU,https://atme.edu.in/,,info@atme.edu.in,,,"+91-9448285641, +91-9448285644",info@atme.edu.in,+91-9036926363,0,,0,,Needs Follow-up,New
AVANTHIS ST.THERESSA INST. OF ENGG AND TECH,Andhra Pradesh,Engineering,JNTUK/JNTUA (directory),https://sttheressaengg.ac.in,,sttheressa99@gmail.com,,,"+91-7893433345, +91-8952281062",sttheressa99@gmail.com,+91-9704755549,0,,0,,Needs Follow-up,New
Acharya Bangalore B-School,Karnataka,BCA,Bangalore University,https://www.abbs.edu.in/placements/recruiters/,,admissions@abbs.edu.in,,,"+91-9141707070, +91-9148977317",,+91-8065112211,0,,0,,Needs Follow-up,New
Acharya Institute of Graduate Studies,Karnataka,BCA,Bangalore University,https://www.acharya.ac.in/,,admissions@acharya.ac.in,,,"+91-9731797677, +91-9731779233, +91-8022555555",admissions@acharya.ac.in,+91-7406644449,0,,0,,Needs Follow-up,New
"Acharya Institute of Graduate Studies Chikkabanavara Lake, Bangalore",Karnataka,BCA,,https://www.acharya.ac.in/,,careers@acharya.ac.in,,"placements@acharya.ac.in, transport@acharya.ac.in, admissions@acharya.ac.in, alumni@acharya.ac.in, erphelpdesk@acharya.ac.in, hostelmanager@acharya.ac.in, headhr@acharya.ac.in, incubation@acharya.ac.in, ithelpdesk@acharya.ac.in, news@acharya.ac.in, research@acharya.ac.in, scholarship@acharya.ac.in, security@acharya.ac.in, acharyaupdates@acharya.ac.in, training@acharya.ac.in, info@acharya.ac.in","+91-7406644449, +91-9731797677, +91-9731779233, +91-8022555555",,+91-7406644449,100,"https://www.acharya.ac.in/about/jcoe.html, https://www.acharya.ac.in/about/leadership.html, https://www.acharya.ac.in/about/helpdesk.html, https://www.acharya.ac.in/about/campus-enterprises.html, https://www.acharya.ac.in/about/acharya-tbi.html, https://www.acharya.ac.in/about/diverse-nationalities.html, https://www.acharya.ac.in/, https://www.acharya.ac.in/events/",0,2026-08-02T14:02:10+00:00,Needs Follow-up,New
"Acharya Institute of Technology, Bangalore",Karnataka,Engineering,VTU,https://www.acharya.ac.in/,,admissions@acharya.ac.in,,,"+91-9731797677, +91-9731779233, +91-8022555555",admissions@acharya.ac.in,+91-7406644449,0,,0,,Needs Follow-up,New
"Acharya NG Ranga Agricultural University - [ANGRAU],",Andhra Pradesh,Engineering,JNTU,https://angrau.ac.in,,info@angrau.ac.in,,"emailregistrar@angrau.ac.in, farmercallcentre@angrau.ac.in, emailregistrar@angrau.ac.in, farmercallcentre@angrau.ac.in",+91-8074420092,info@angrau.ac.in,+91-7702366115,0,,0,,Needs Follow-up,New
Acharya Nagarjuna University - [ANU],Andhra Pradesh,BCA,Andhra University,https://www.anu.ac.in,,webmaster@anu.ac.in,,,,webmaster@anu.ac.in,,0,,0,,Needs Follow-up,New
"Acharya Nagarjuna University, Guntur",Andhra Pradesh,Engineering,,https://www.nagarjunauniversity.ac.in/,,,,,,,,100,,0,2026-08-02T12:40:02+00:00,Failed,New
Adarsh College of Engineering,Andhra Pradesh,Engineering,JNTUK/JNTUA (directory),http://www.adarsh.ac.in,,info@adarsh.ac.in,,,,info@adarsh.ac.in,+91-9603373378,0,,0,,Needs Follow-up,New
"Adichunchanagiri Institute of Technology, Chikmagalur",Karnataka,Engineering,VTU,http://aitckm.in,,jagadeeshchandra@aitckm.in,,"ds@aitckm.in, kumudat@aitckm.in, ashwinikamath@aitckm.in, ise@aitckm.in, chunchana@aitckm.in, siddarthade@aitckm.in, praveend@aitckm.in, hod.aiml@aitckm.in, hod.ise@aitckm.in",,jagadeeshchandra@aitckm.in,,0,,0,,Needs Follow-up,New
Aditya College of Engineering and Technology,Andhra Pradesh,Engineering,"Various Deemed Universities (GITAM, KLEF, VFSTR, Vignan, Amrita)",https://acem.ac.in/placement-cell/,,info@acem.ac.in,,,+91-7416963100,info@acem.ac.in,+91-7416948100,0,,0,,Needs Follow-up,New
Aditya Degree College Andhra Pradesh - Other,Andhra Pradesh,BCA,,https://aditya.ac.in/degree,,,,,,,,90,"https://aditya.ac.in/degree-placements/, https://aditya.ac.in/degree, https://aditya.ac.in/aicte.php, https://aditya.ac.in/exams.php, https://aditya.ac.in/cm.php, https://aditya.ac.in/disabled-friendly.php, https://aditya.ac.in/course/011%20B.Sc%20MICROBIOLOGY, https://aditya.ac.in/waterbodies.php",0,2026-08-02T15:31:24+00:00,Failed,New
Aditya Engineering College East Godavari,Andhra Pradesh,Engineering,,https://www.adityabirla.com/,,,,,,,,70,https://www.adityabirla.com/,0,2026-08-02T12:09:34+00:00,Failed,New
"Aditya Institute of Management Studies and Research - [AIMSR], Bangalore",Karnataka,BCA,Bangalore University,https://aimsbangalore.net/an-initiative-of-iqac-and-organized-by-placement-cell/,,enquiry@adityaedu.net,,"contact@adityaedu.net, principal@aimsbangalore.net","+91-7090001946, +91-9742292012",enquiry@adityaedu.net,+91-9620349000,0,,0,,Needs Follow-up,New
